# FULL owned pool: every B/R-identity, Brawl-legal card in the Arena collection (n=1506)
# Sorted by Kuja-corpus inclusion % (6,983 real Kuja decks), then EDHREC rank. incl=- means no corpus row.
# columns: NAME | COST | TYPE | incl | TAGS | oracle

Black Waltz No. 3 | {2}{B}{R} | Legendary Creature - Wizard | 90.5 | WIZ,CAST-TRIG,PING | Flying, deathtouch / Whenever you cast a noncreature spell, Black Waltz No. 3 deals 2 damage to each opponent.
Demonic Counsel | {1}{B} | Sorcery | - |  | Search your library for a Demon card, reveal it, put it into your hand, then shuffle. / Delirium — If there are four or more card types among cards in your graveyard, instead search your lib
Juri, Master of the Revue | {B}{R} | Legendary Creature - Human Shaman | - |  | Whenever you sacrifice a permanent, put a +1/+1 counter on Juri. / When Juri dies, it deals damage equal to its power to any target.
Sticky Fingers | {R} | Enchantment - Aura | - | CANTRIP,TREAS | Enchant creature / Enchanted creature has menace and "Whenever this creature deals combat damage to a player, create a Treasure token." / When enchanted creature dies, draw a card.
Insurrection | {5}{R}{R}{R} | Sorcery | - |  | Untap all creatures and gain control of them until end of turn. They gain haste until end of turn.
Terrain Generator |  | Land | - | LAND | {T}: Add {C}. / {2}, {T}: You may put a basic land card from your hand onto the battlefield tapped.
Susur Secundi, Void Altar |  | Land - Planet | - | LAND | This land enters tapped. / {T}: Add {B}. / Station / 12+ | {1}{B}, {T}, Pay 2 life, Sacrifice a creature: Draw cards equal to the sacrificed creature's power. Activate only as a sorcery.
Inti, Seneschal of the Sun | {1}{R} | Legendary Creature - Human Knight | - |  | Whenever you attack, you may discard a card. When you do, put a +1/+1 counter on target attacking creature. It gains trample until end of turn. / Whenever you discard one or more cards, exil
Black Sun's Zenith | {X}{B}{B} | Sorcery | - | RMVL | Put X -1/-1 counters on each creature. Shuffle Black Sun's Zenith into its owner's library.
Dragon Fodder | {1}{R} | Sorcery | - |  | Create two 1/1 red Goblin creature tokens.
Fists of Flame | {1}{R} | Instant | - | CANTRIP | Draw a card. Until end of turn, target creature gains trample and gets +1/+0 for each card you've drawn this turn.
Hero's Downfall | {1}{B}{B} | Instant | - | RMVL | Destroy target creature or planeswalker.
Goldvein Pick | {2} | Artifact - Equipment | - | TREAS | Equipped creature gets +1/+1. / Whenever equipped creature deals combat damage to a player, create a Treasure token. / Equip {1}
Bitterbloom Bearer | {B}{B} | Creature - Faerie Rogue | - |  | Flash / Flying / At the beginning of your upkeep, you lose 1 life and create a 1/1 blue and black Faerie creature token with flying.
Krenko's Command | {1}{R} | Sorcery | - |  | Create two 1/1 red Goblin creature tokens.
The Walls of Ba Sing Se | {8} | Legendary Artifact Creature - Wall | - |  | Defender / Other permanents you control have indestructible.
Anticausal Vestige | {6} | Creature - Eldrazi | - |  | When this creature leaves the battlefield, draw a card, then you may put a permanent card with mana value less than or equal to the number of lands you control from your hand onto the battle
Goblin Warchief | {1}{R}{R} | Creature - Goblin Warrior | - | CHEAPER | Goblin spells you cast cost {1} less to cast. / Goblins you control have haste.
Coldsteel Heart | {2} | Snow Artifact | - |  | This artifact enters tapped. / As this artifact enters, choose a color. / {T}: Add one mana of the chosen color.
The Last Agni Kai | {1}{R} | Instant | - |  | Target creature you control fights target creature an opponent controls. If the creature the opponent controls is dealt excess damage this way, add that much {R}. / Until end of turn, you do
Glimpse the Impossible | {2}{R} | Sorcery | - | RITUAL | Exile the top three cards of your library. You may play those cards this turn. At the beginning of the next end step, if any of those cards remain exiled, put them into your graveyard, then 
Dragonfire Blade | {1} | Artifact - Equipment | - |  | Equipped creature gets +2/+2 and has hexproof from monocolored. / Equip {4}. This ability costs {1} less to activate for each color of the creature it targets.
Overlord of the Balemurk | {3}{B}{B} | Enchantment Creature - Avatar Horror | - |  | Impending 5—{1}{B} / Whenever this permanent enters or attacks, mill four cards, then you may return a non-Avatar creature card or a planeswalker card from your graveyard to your hand.
Multiversal Passage |  | Land | - | LAND | As this land enters, choose a basic land type. Then you may pay 2 life. If you don't, it enters tapped. / This land is the chosen type.
Summon: Primal Odin | {4}{B}{B} | Enchantment Creature - Saga Knight | - | RMVL | / I — Gungnir — Destroy target creature an opponent controls. / II — Zantetsuken — This creature gains "Whenever this creature deals combat damage to a player, that player loses the game." /
Greedy Freebooter | {B} | Creature - Human Pirate | - | TREAS | When this creature dies, scry 1 and create a Treasure token.
Leyline Tyrant | {2}{R}{R} | Creature - Dragon | - | PING | Flying / You don't lose unspent red mana as steps and phases end. / When this creature dies, you may pay any amount of {R}. When you do, it deals that much damage to any target.
Amonkhet Raceway |  | Land | - | LAND | Start your engines! / {T}: Add {C}. / Max speed — {T}: Target creature gains haste until end of turn.
God-Pharaoh's Statue | {6} | Legendary Artifact | - |  | Spells your opponents cast cost {2} more to cast. / At the beginning of your end step, each opponent loses 1 life.
Qarsi Revenant | {1}{B}{B} | Creature - Vampire | - |  | Flying, deathtouch, lifelink / Renew — {2}{B}, Exile this card from your graveyard: Put a flying counter, a deathtouch counter, and a lifelink counter on target creature. Activate only as a 
Sabotender | {1}{R} | Creature - Plant | - | PING | Reach / Landfall — Whenever a land you control enters, this creature deals 1 damage to each opponent.
Fear of Missing Out | {1}{R} | Enchantment Creature - Nightmare | - | CANTRIP | When this creature enters, discard a card, then draw a card. / Delirium — Whenever this creature attacks for the first time each turn, if there are four or more card types among cards in you
Empty the Warrens | {3}{R} | Sorcery | - |  | Create two 1/1 red Goblin creature tokens. / Storm
Grave Researcher // Reanimate | {2}{B} // {B} | Creature - Troll Warlock // Sorcery | - |  | At the beginning of your upkeep, surveil 1. Then if there are three or more creature cards in your graveyard, this creature becomes prepared. / // / Put target creature card from a graveyard
Baldur's Gate |  | Legendary Land - Gate | - | LAND | {T}: Add {C}. / {2}, {T}: Add X mana of any one color, where X is the number of other Gates you control.
General Kreat, the Boltbringer | {2}{R} | Legendary Creature - Goblin Soldier | - | PING | Whenever one or more Goblins you control attack, create a 1/1 red Goblin creature token that's tapped and attacking. / Whenever another creature you control enters, General Kreat deals 1 dam
Beamtown Beatstick | {R} | Artifact - Equipment | - | TREAS | Equipped creature gets +1/+0 and has menace. / Whenever equipped creature deals combat damage to a player or battle, create a Treasure token. / Equip {2}
Gateway Plaza |  | Land - Gate | - | LAND | This land enters tapped. / When this land enters, sacrifice it unless you pay {1}. / {T}: Add one mana of any color.
Burglar Rat | {1}{B} | Creature - Rat | - |  | When this creature enters, each opponent discards a card.
Twinferno | {1}{R} | Instant | - | COPY | Choose one — / • When you cast your next instant or sorcery spell this turn, copy that spell. You may choose new targets for the copy. / • Target creature you control gains double strike unt
Tectonic Hazard | {R} | Sorcery | - | PING,RMVL | Tectonic Hazard deals 1 damage to each opponent and each creature they control.
Bloodline Bidding | {6}{B}{B} | Sorcery | - |  | Convoke / Choose a creature type. Return all creature cards of the chosen type from your graveyard to the battlefield.
Firebender Ascension | {1}{R} | Enchantment | - | COPY | When this enchantment enters, create a 2/2 red Soldier creature token with firebending 1. / Whenever a creature you control attacking causes a triggered ability of that creature to trigger, 
Dawnsire, Sunstar Dreadnought | {5} | Legendary Artifact - Spacecraft | - |  | Station / 10+ | Whenever you attack, Dawnsire deals 100 damage to up to one target creature or planeswalker. / 20+ | Flying
Fell | {1}{B} | Sorcery | - | RMVL | Destroy target creature.
Graveshifter | {3}{B} | Creature - Shapeshifter | - |  | Changeling / When this creature enters, you may return target creature card from your graveyard to your hand.
Aettir and Priwen | {6} | Legendary Artifact - Equipment | - |  | Equipped creature has base power and toughness X/X, where X is your life total. / Equip {5}
Bitter Reunion | {1}{R} | Enchantment | - |  | When this enchantment enters, you may discard a card. If you do, draw two cards. / {1}, Sacrifice this enchantment: Creatures you control gain haste until end of turn.
Nowhere to Run | {1}{B} | Enchantment | - |  | Flash / When this enchantment enters, target creature an opponent controls gets -3/-3 until end of turn. / Creatures your opponents control can be the targets of spells and abilities as thou
Maze's End |  | Land | - | LAND | This land enters tapped. / {T}: Add {C}. / {3}, {T}, Return this land to its owner's hand: Search your library for a Gate card, put it onto the battlefield, then shuffle. If you control ten 
Improvisation Capstone | {5}{R}{R} | Sorcery - Lesson | - |  | Exile cards from the top of your library until you exile cards with total mana value 4 or greater. You may cast any number of spells from among them without paying their mana costs. / Paradi
Pain for All | {2}{R} | Enchantment - Aura | - | PING | Enchant creature you control / When this Aura enters, enchanted creature deals damage equal to its power to any other target. / Whenever enchanted creature is dealt damage, it deals that muc
Dragonstorm Globe | {3} | Artifact | - |  | Each Dragon you control enters with an additional +1/+1 counter on it. / {T}: Add one mana of any color.
Abyssal Harvester | {1}{B}{B} | Creature - Demon Warlock | - | RMVL | {T}: Exile target creature card from a graveyard that was put there this turn. Create a token that's a copy of it, except it's a Nightmare in addition to its other types. Then exile all othe
World Map | {1} | Artifact | - |  | {1}, {T}, Sacrifice this artifact: Search your library for a basic land card, reveal it, put it into your hand, then shuffle. / {3}, {T}, Sacrifice this artifact: Search your library for a l
Scytheclaw Raptor | {2}{R} | Creature - Dinosaur | - |  | Whenever a player casts a spell, if it's not their turn, this creature deals 4 damage to them.
Breeches, Eager Pillager | {2}{R} | Legendary Creature - Goblin Pirate | - | TREAS | First strike / Whenever a Pirate you control attacks, choose one that hasn't been chosen this turn — / • Create a Treasure token. / • Target creature can't block this turn. / • Exile the top
Magmakin Artillerist | {2}{R} | Creature - Elemental Pirate | - | PING | Whenever you discard one or more cards, this creature deals that much damage to each opponent. / Cycling {1}{R} / When you cycle this card, it deals 1 damage to each opponent.
Kuja, Genome Sorcerer // Trance Kuja, Fate Defied | {2}{B}{R} | Legendary Creature - Human Mutant Wizard // Legendary Creature — Avatar Wizard | - | WIZ,DMG2X,CAST-TRIG,PING | At the beginning of your end step, create a tapped 0/1 black Wizard creature token with "Whenever you cast a noncreature spell, this token deals 1 damage to each opponent." Then if you contr
Twilight Diviner | {2}{B} | Creature - Elf Cleric | - |  | When this creature enters, surveil 2. / Whenever one or more other creatures you control enter, if they entered or were cast from a graveyard, create a token that's a copy of one of them. Th
Rumble Arena |  | Land | - | LAND | Vigilance / When this land enters, scry 1. / {T}: Add {C}. / {1}, {T}: Add one mana of any color.
Goblin Trashmaster | {2}{R}{R} | Creature - Goblin Warrior | - | RMVL | Other Goblins you control get +1/+1. / Sacrifice a Goblin: Destroy target artifact.
Eaten Alive | {B} | Sorcery | - | RMVL | As an additional cost to cast this spell, sacrifice a creature or pay {3}{B}. / Exile target creature or planeswalker.
Howlsquad Heavy | {2}{R} | Creature - Goblin Mercenary | - | MANA | Start your engines! / Other Goblins you control have haste. / At the beginning of combat on your turn, create a 1/1 red Goblin creature token. That token attacks this combat if able. / Max s
Firebending Student | {1}{R} | Creature - Human Monk | - |  | Prowess / Firebending X, where X is this creature's power.
Goblin Instigator | {1}{R} | Creature - Goblin Rogue | - |  | When this creature enters, create a 1/1 red Goblin creature token.
Iron Spider, Stark Upgrade | {3} | Legendary Artifact Creature - Spider Hero | - |  | Vigilance / {T}: Put a +1/+1 counter on each artifact creature and/or Vehicle you control. / {2}, Remove two +1/+1 counters from among artifacts you control: Draw a card.
Duress | {B} | Sorcery | - |  | Target opponent reveals their hand. You choose a noncreature, nonland card from it. That player discards that card.
Grievous Wound | {3}{B}{B} | Enchantment - Aura | - |  | Enchant player / Enchanted player can't gain life. / Whenever enchanted player is dealt damage, they lose half their life, rounded up.
Ogre Battledriver | {2}{R}{R} | Creature - Ogre Warrior | - |  | Whenever another creature you control enters, that creature gets +2/+0 and gains haste until end of turn.
Eclipsed Realms |  | Land | - | LAND | As this land enters, choose Elemental, Elf, Faerie, Giant, Goblin, Kithkin, Merfolk, or Treefolk. / {T}: Add {C}. / {T}: Add one mana of any color. Spend this mana only to cast a spell of th
The Endstone | {7} | Legendary Artifact | - |  | Whenever you play a land or cast a spell, draw a card. / At the beginning of your end step, your life total becomes half your starting life total, rounded up.
Weapons Manufacturing | {1}{R} | Enchantment | - | PING | Whenever a nontoken artifact you control enters, create a colorless artifact token named Munitions with "When this token leaves the battlefield, it deals 2 damage to any target."
Gathering Stone | {4} | Artifact | - | CHEAPER | As this artifact enters, choose a creature type. / Spells you cast of the chosen type cost {1} less to cast. / When this artifact enters and at the beginning of your upkeep, look at the top 
Costly Plunder | {1}{B} | Instant | - |  | As an additional cost to cast this spell, sacrifice an artifact or creature. / Draw two cards.
Clive, Ifrit's Dominant // Ifrit, Warden of Inferno | {4}{R}{R} | Legendary Creature - Human Noble Warrior // Legendary Enchantment Creature — Saga Demon | - | MANA | When Clive enters, you may discard your hand, then draw cards equal to your devotion to red. / {4}{R}{R}, {T}: Exile Clive, then return it to the battlefield transformed under its owner's co
Daily Bugle Building |  | Land | - | LAND | {T}: Add {C}. / {1}, {T}: Add one mana of any color. / Smear Campaign — {1}, {T}: Target legendary creature gains menace until end of turn. Activate only as a sorcery.
Charming Scoundrel | {1}{R} | Creature - Human Rogue | - | CANTRIP,TREAS | Haste / When this creature enters, choose one — / • Discard a card, then draw a card. / • Create a Treasure token. / • Create a Wicked Role token attached to target creature you control.
Monstrous Rage | {R} | Instant | - |  | Target creature gets +2/+0 until end of turn. Create a Monster Role token attached to it.
Raid Bombardment | {2}{R} | Enchantment | - |  | Whenever a creature you control with power 2 or less attacks, this enchantment deals 1 damage to the player or planeswalker that creature is attacking.
Zombify | {3}{B} | Sorcery | - |  | Return target creature card from your graveyard to the battlefield.
Reckless Barbarian | {1}{R} | Creature - Dragon Barbarian | - | MANA | Sacrifice this creature: Add {R}{R}.
Emeritus of Woe // Demonic Tutor | {3}{B} // {1}{B} | Creature - Vampire Warlock // Sorcery | - |  | This creature enters prepared. / At the beginning of your end step, if two or more creatures died this turn, this creature becomes prepared. / // / Search your library for a card, put that c
Fervor | {2}{R} | Enchantment | - |  | Creatures you control have haste.
Firdoch Core | {3} | Kindred Artifact - Shapeshifter | - |  | Changeling / {T}: Add one mana of any color. / {4}: This artifact becomes a 4/4 artifact creature until end of turn.
Command Bridge |  | Land | - | LAND | This land enters tapped. / When this land enters, sacrifice it unless you tap an untapped permanent you control. / {T}: Add one mana of any color.
Cori Mountain Monastery |  | Land | - | LAND | This land enters tapped unless you control a Plains or an Island. / {T}: Add {R}. / {3}{R}, {T}: Exile the top card of your library. Until the end of your next turn, you may play that card.
Seizan, Perverter of Truth | {3}{B}{B} | Legendary Creature - Demon Spirit | - |  | At the beginning of each player's upkeep, that player loses 2 life and draws two cards.
Markov Baron | {2}{B} | Creature - Vampire Noble | - |  | Convoke / Lifelink / Other Vampires you control get +1/+1. / Madness {2}{B}
Sozin's Comet | {3}{R}{R} | Sorcery | - | RMVL | Each creature you control gains firebending 5 until end of turn. / Foretell {2}{R}
Reckoner Bankbuster | {2} | Artifact - Vehicle | - | CANTRIP,TREAS | This Vehicle enters with three charge counters on it. / {2}, {T}, Remove a charge counter from this Vehicle: Draw a card. Then if there are no charge counters on this Vehicle, create a Treas
Eden, Seat of the Sanctum |  | Land - Town | - | LAND | {T}: Add {C}. / {5}, {T}: Mill two cards. Then you may sacrifice this land. When you do, return another target permanent card from your graveyard to your hand.
Blacksmith's Talent | {R} | Enchantment - Class | - |  | / When this Class enters, create a colorless Equipment artifact token named Sword with "Equipped creature gets +1/+1" and equip {2}. / {2}{R}: Level 2 / At the beginning of combat on your tu
Jagged Barrens |  | Land - Desert | - | LAND | This land enters tapped. / When this land enters, it deals 1 damage to target opponent. / {T}: Add {B} or {R}.
Krang, Utrom Warlord | {9} | Legendary Artifact Creature - Utrom Robot | - |  | Flying, trample, indestructible, haste / Other artifact creatures you control have flying, trample, indestructible, and haste.
The Masamune | {3} | Legendary Artifact - Equipment | - | TRIG2X | As long as equipped creature is attacking, it has first strike and must be blocked if able. / Equipped creature has "If a creature dying causes a triggered ability of this creature or an emb
Capital City |  | Land - Town | - | LAND | {T}: Add {C}. / {1}, {T}: Add one mana of any color. / Cycling {2}
Might of the Meek | {R} | Instant | - | CANTRIP | Target creature gains trample until end of turn. It also gets +1/+0 until end of turn if you control a Mouse. / Draw a card.
Planetarium of Wan Shi Tong | {6} | Legendary Artifact | - |  | {1}, {T}: Scry 2. / Whenever you scry or surveil, look at the top card of your library. You may cast that card without paying its mana cost. Do this only once each turn.
Goblin Sharpshooter | {2}{R} | Creature - Goblin | - | PING | This creature doesn't untap during your untap step. / Whenever a creature dies, untap this creature. / {T}: This creature deals 1 damage to any target.
Searslicer Goblin | {1}{R} | Creature - Goblin Warrior | - |  | Raid — At the beginning of your end step, if you attacked this turn, create a 1/1 red Goblin creature token.
Roadside Reliquary |  | Land | - | LAND,CANTRIP | {T}: Add {C}. / {2}, {T}, Sacrifice this land: Draw a card if you control an artifact. Draw a card if you control an enchantment.
Avishkar Raceway |  | Land | - | LAND,CANTRIP | Start your engines! / {T}: Add {C}. / Max speed — {3}, {T}, Discard a card: Draw a card.
Hidden Volcano |  | Land - Cave | - | LAND | This land enters tapped. / {T}: Add {R}. / {4}{R}, {T}, Sacrifice this land: Discover 4. Activate only as a sorcery.
Sazacap's Brew | {1}{R} | Instant | - |  | Gift a tapped Fish / As an additional cost to cast this spell, discard a card. / Target player draws two cards. If the gift was promised, target creature you control gets +2/+0 until end of 
Spitfire Lagac | {3}{R} | Creature - Lizard | - | PING | Landfall — Whenever a land you control enters, this creature deals 1 damage to each opponent.
Secluded Starforge |  | Land | - | LAND | {T}: Add {C}. / {2}, {T}, Tap X untapped artifacts you control: Target creature gets +X/+0 until end of turn. Activate only as a sorcery. / {5}, {T}: Create a 2/2 colorless Robot artifact cr
Ozai, the Phoenix King | {2}{B}{B}{R}{R} | Legendary Creature - Human Noble | - |  | Trample, firebending 4, haste / If you would lose unspent mana, that mana becomes red instead. / Ozai has flying and indestructible as long as you have six or more unspent mana.
Infestation Sage | {B} | Creature - Elf Warlock | - |  | When this creature dies, create a 1/1 black and green Insect creature token with flying.
Devastating Onslaught | {X}{X}{R} | Sorcery | - |  | Create X tokens that are copies of target artifact or creature you control. Those tokens gain haste until end of turn. Sacrifice them at the beginning of the next end step.
Traxos, Scourge of Kroog | {4} | Legendary Artifact Creature - Construct | - | CAST-TRIG | Trample / Traxos enters tapped and doesn't untap during your untap step. / Whenever you cast a historic spell, untap Traxos.
Nibelheim Aflame | {2}{R}{R} | Sorcery | - |  | Choose target creature you control. It deals damage equal to its power to each other creature. If this spell was cast from a graveyard, discard your hand and draw four cards. / Flashback {5}
Volcanic Torrent | {4}{R} | Sorcery | - | RMVL | Cascade / Volcanic Torrent deals X damage to each creature and planeswalker your opponents control, where X is the number of spells you've cast this turn.
Breaching Dragonstorm | {4}{R} | Enchantment | - |  | When this enchantment enters, exile cards from the top of your library until you exile a nonland card. You may cast it without paying its mana cost if that spell's mana value is 8 or less. I
Alloy Myr | {3} | Artifact Creature - Myr | - |  | {T}: Add one mana of any color.
Bag of Holding | {1} | Artifact | - | CANTRIP | Whenever you discard a card, exile that card from your graveyard. / {2}, {T}: Draw a card, then discard a card. / {4}, {T}, Sacrifice this artifact: Return all cards exiled with this artifac
White Lotus Tile | {4} | Artifact | - |  | This artifact enters tapped. / {T}: Add X mana of any one color, where X is the greatest number of creatures you control that have a creature type in common.
Blazing Crescendo | {1}{R} | Instant | - |  | Target creature gets +3/+1 until end of turn. / Exile the top card of your library. Until the end of your next turn, you may play that card.
Virus Beetle | {1}{B} | Artifact Creature - Insect | - |  | When this creature enters, each opponent discards a card.
Stargaze | {X}{B}{B} | Sorcery | - |  | Look at twice X cards from the top of your library. Put X cards from among them into your hand and the rest into your graveyard. You lose X life.
Three Tree Mascot | {2} | Artifact Creature - Shapeshifter | - |  | Changeling / {1}: Add one mana of any color. Activate only once each turn.
Witch's Mark | {1}{R} | Sorcery | - |  | You may discard a card. If you do, draw two cards. / Create a Wicked Role token attached to up to one target creature you control.
Shoot the Sheriff | {1}{B} | Instant | - | RMVL | Destroy target non-outlaw creature.
Vraan, Executioner Thane | {1}{B} | Legendary Creature - Phyrexian Vampire | - |  | Whenever one or more other creatures you control die, each opponent loses 2 life and you gain 2 life. This ability triggers only once each turn.
The Legend of Roku // Avatar Roku | {2}{R}{R} | Enchantment - Saga // Legendary Creature — Avatar | - |  | / I — Exile the top three cards of your library. Until the end of your next turn, you may play those cards. / II — Add one mana of any color. / III — Exile this Saga, then return it to the b
Firemind Vessel | {4} | Artifact | - |  | This artifact enters tapped. / {T}: Add two mana of different colors.
Bygone Colossus | {9} | Artifact Creature - Robot Giant | - |  | Warp {3}
Shadow of the Goblin | {1}{R} | Enchantment | - | CANTRIP,PING | Unreliable Visions — At the beginning of your first main phase, discard a card. If you do, draw a card. / Undying Vengeance — Whenever you play a land or cast a spell from anywhere other tha
Barkform Harvester | {3} | Artifact Creature - Shapeshifter | - |  | Changeling / Reach / {2}: Put target card from your graveyard on the bottom of your library.
Ancestors' Aid | {1}{R} | Instant | - | TREAS | Target creature gets +2/+0 and gains first strike until end of turn. / Create a Treasure token.
Scheming Silvertongue // Sign in Blood | {1}{B} // {B}{B} | Creature - Vampire Warlock // Sorcery | - |  | Flying, lifelink / At the beginning of your second main phase, if you gained 2 or more life this turn, this creature becomes prepared. / // / Target player draws two cards and loses 2 life.
Liliana's Triumph | {1}{B} | Instant | - |  | Each opponent sacrifices a creature of their choice. If you control a Liliana planeswalker, each opponent also discards a card.
Jasmine Dragon Tea Shop |  | Land | - | LAND | {T}: Add {C}. / {T}: Add one mana of any color. Spend this mana only to cast an Ally spell or activate an ability of an Ally source. / {5}, {T}: Create a 1/1 white Ally creature token.
High-Society Hunter | {3}{B}{B} | Creature - Vampire Noble | - |  | Flying / Whenever this creature attacks, you may sacrifice another creature. If you do, put a +1/+1 counter on this creature. / Whenever another nontoken creature dies, draw a card.
You Find Some Prisoners | {1}{R} | Instant | - | RMVL | Choose one — / • Break Their Chains — Destroy target artifact. / • Interrogate Them — Exile the top three cards of target opponent's library. Choose one of them. Until the end of your next t
Ring of the Lucii | {4} | Legendary Artifact | - | MANA | {T}: Add {C}{C}. / {2}, {T}, Pay 1 life: Tap target nonland permanent.
Zuko, Exiled Prince | {3}{R} | Legendary Creature - Human Noble | - |  | Firebending 3 / {3}: Exile the top card of your library. You may play that card this turn.
Dreadbore | {B}{R} | Sorcery | - | RMVL | Destroy target creature or planeswalker.
Zephyr Boots | {1} | Artifact - Equipment | - | CANTRIP | Equipped creature has flying. / Whenever equipped creature deals combat damage to a player, draw a card, then discard a card. / Equip {2}
Overlord of the Boilerbilges | {4}{R}{R} | Enchantment Creature - Avatar Horror | - | PING | Impending 4—{2}{R}{R} / Whenever this permanent enters or attacks, it deals 4 damage to any target.
Strixhaven Stadium | {3} | Artifact | - | MANA | {T}: Add {C}. Put a point counter on this artifact. / Whenever a creature deals combat damage to you, remove a point counter from this artifact. / Whenever a creature you control deals comba
Zuko's Exile | {5} | Instant - Lesson | - | RMVL | Exile target artifact, creature, or enchantment. Its controller creates a Clue token.
Zodiark, Umbral God | {B}{B}{B}{B}{B} | Legendary Creature - God | - |  | Indestructible / When Zodiark enters, each player sacrifices half the non-God creatures they control of their choice, rounded down. / Whenever a player sacrifices another creature, put a +1/
Short Bow | {2} | Artifact - Equipment | - |  | Equipped creature gets +1/+1 and has reach and vigilance. / Equip {1}
Aang's Journey | {2} | Sorcery - Lesson | - |  | Kicker {2} / Search your library for a basic land card. If this spell was kicked, instead search your library for a basic land card and a Shrine card. Reveal those cards, put them into your 
Preacher of the Schism | {2}{B} | Creature - Vampire Cleric | - |  | Deathtouch / Whenever this creature attacks the player with the most life or tied for most life, create a 1/1 white Vampire creature token with lifelink. / Whenever this creature attacks whi
Moseo, Vein's New Dean | {2}{B} | Legendary Creature - Bird Skeleton Warlock | - |  | Flying / When Moseo enters, create a 1/1 black and green Pest creature token with "Whenever this token attacks, you gain 1 life." / Infusion — At the beginning of your end step, if you gaine
Tannuk, Steadfast Second | {2}{R}{R} | Legendary Creature - Kavu Pilot | - |  | Other creatures you control have haste. / Artifact cards and red creature cards in your hand have warp {2}{R}.
Tithing Blade // Consuming Sepulcher | {1}{B} | Artifact // Artifact | - |  | When this artifact enters, each opponent sacrifices a creature of their choice. / Craft with creature {4}{B} / // / At the beginning of your upkeep, each opponent loses 1 life and you gain 1
Bringer of the Last Gift | {6}{B}{B} | Creature - Vampire Demon | - |  | Flying / When this creature enters, if you cast it, each player sacrifices all other creatures they control. Then each player returns all creature cards from their graveyard that weren't put
Mirrormind Crown | {4} | Artifact - Equipment | - |  | As long as this Equipment is attached to a creature, the first time you would create one or more tokens each turn, you may instead create that many tokens that are copies of equipped creatur
Freya Crescent | {R} | Legendary Creature - Rat Knight | - | MANA | Jump — During your turn, Freya Crescent has flying. / {T}: Add {R}. Spend this mana only to cast an Equipment spell or activate an equip ability.
Heartless Act | {1}{B} | Instant | - | RMVL | Choose one — / • Destroy target creature with no counters on it. / • Remove up to three counters from target creature.
Cut Down | {B} | Instant | - | RMVL | Destroy target creature with total power and toughness 5 or less.
Stormscale Scion | {4}{R}{R} | Creature - Dragon | - |  | Flying / Other Dragons you control get +1/+1. / Storm
Cryptolith Fragment // Aurora of Emrakul | {3} | Artifact // Creature - Eldrazi Reflection | - |  | This artifact enters tapped. / {T}: Add one mana of any color. Each player loses 1 life. / At the beginning of your upkeep, if each player has 10 or less life, transform this artifact. / // 
Suspicious Bookcase | {2} | Artifact Creature - Wall | - |  | Defender / {3}, {T}: Target creature can't be blocked this turn.
Avatar Roku, Firebender | {3}{R}{R}{R} | Legendary Creature - Human Avatar | - |  | Whenever a player attacks, add six {R}. Until end of combat, you don't lose this mana as steps end. / {R}{R}{R}: Target creature gets +3/+0 until end of turn.
Villainous Wrath | {3}{B}{B} | Sorcery | - | RMVL | Target opponent loses life equal to the number of creatures they control. Then destroy all creatures.
Sunset Strikemaster | {1}{R} | Creature - Human Monk | - | MANA,RMVL | {T}: Add {R}. / {2}{R}, {T}, Sacrifice this creature: It deals 6 damage to target creature with flying.
Cool but Rude | {1}{R} | Enchantment - Class | - | CANTRIP,PING | / Whenever you attack, you may discard a card. If you do, draw a card. / {1}{R}: Level 2 / Whenever you discard a card, this Class deals 2 damage to each opponent. / {1}{R}: Level 3 / When t
Ultima Weapon | {7} | Legendary Artifact - Equipment | - | RMVL | Whenever equipped creature attacks, destroy target creature an opponent controls. / Equipped creature gets +7/+7. / Equip {7}
Changeling Wayfinder | {3} | Creature - Shapeshifter | - |  | Changeling / When this creature enters, you may search your library for a basic land card, reveal it, put it into your hand, then shuffle.
Thrumming Hivepool | {6} | Artifact | - |  | Affinity for Slivers / Slivers you control have double strike and haste. / At the beginning of your upkeep, create two 1/1 colorless Sliver creature tokens.
Ancestral Anger | {R} | Sorcery | - | CANTRIP | Target creature gains trample and gets +X/+0 until end of turn, where X is 1 plus the number of cards named Ancestral Anger in your graveyard. / Draw a card.
Stadium Headliner | {R} | Creature - Goblin Warrior | - |  | Mobilize 1 / {1}{R}, Sacrifice this creature: It deals damage equal to the number of creatures you control to target creature.
Snarling Gorehound | {B} | Creature - Dog | - |  | Menace / Whenever another creature you control with power 2 or less enters, surveil 1.
Fountainport Bell | {1} | Artifact | - | CANTRIP | When this artifact enters, you may search your library for a basic land card, reveal it, then shuffle and put that card on top. / {1}, Sacrifice this artifact: Draw a card.
Mai, Scornful Striker | {1}{B} | Legendary Creature - Human Noble Ally | - |  | First strike / Whenever a player casts a noncreature spell, they lose 2 life.
Timeline Culler | {B}{B} | Creature - Drix Warlock | - |  | Haste / You may cast this card from your graveyard using its warp ability. / Warp—{B}, Pay 2 life.
Magebane Lizard | {1}{R} | Creature - Lizard | - |  | Whenever a player casts a noncreature spell, this creature deals damage to that player equal to the number of noncreature spells they've cast this turn.
Rile | {R} | Sorcery | - | CANTRIP,RMVL | Rile deals 1 damage to target creature you control. That creature gains trample until end of turn. / Draw a card.
