Meren of Clan Nel Toth — identity BG — 421 candidates (collection 719 names, reserved 156)
inc%  lift  mv  rank   $     mk  name | type | oracle
  0.8 -0.2   2    691   0.4      Charcoal Diamond | Art | This artifact enters tapped. {T}: Add {B}.
  0.8 +0.4   4   1122   3.3      Twilight Prophet | Cr — Vampire Cleric | Flying Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.) A
  0.8 +0.2   0   6022   0.5      Realm of Koh | Land | This land enters tapped unless you control a basic land. {T}: Add {B}. {3}{B}, {T}: Create a 1/1 colorless Spi
  0.8 +3.3   3  13545   0.8      Azula, Ruthless Firebender | L.Cr — Human Noble | Firebending 1 (Whenever this creature attacks, add {R}. This mana lasts until end of combat.) Whenever Azula a
  0.7 +0.2   4   9530   0.1      Sivriss, Nightmare Speaker | L.Cr — Snake Cleric Warlock | {T}, Sacrifice another creature or an artifact: For each opponent, you mill a card, then return that card from
  0.7 +1.3   5   5464   0.3      Chainer, Dementia Master | L.Cr — Human Minion | All Nightmares get +1/+1. {B}{B}{B}, Pay 3 life: Put target creature card from a graveyard onto the battlefiel
  0.7 -2.3   5   7238   0.8      Defiling Daemogoth | Cr — Demon | Menace Whenever a creature you control deals combat damage to a player, you gain 1 life. At the beginning of y
  0.7 +1.4   6   9666   0.4      Koh, the Face Stealer | L.Cr — Shapeshifter Spirit | When Koh enters, exile up to one other target creature. Whenever another nontoken creature dies, you may exile
  0.7 -0.4   3   1652   0.4      Murderous Rider // Swift End | Cr — Zombie Knight | Lifelink When this creature dies, put it on the bottom of its owner's library. // Destroy target creature or p
  0.7 -1.9   0   4261   0.2      Study Hall | Land | {T}: Add {C}. {1}, {T}: Add one mana of any color. When you spend this mana to cast your commander, scry X, wh
  0.7 -1.9   3   2810   0.4      Hornet Nest | Cr — Insect | Defender (This creature can't attack.) Whenever this creature is dealt damage, create that many 1/1 green Inse
  0.6 -1.5   2    223   0.7      Ornithopter of Paradise | Art Cr — Thopter | Flying {T}: Add one mana of any color.
  0.6 +1.0   1  10273   0.4      Gutterbones | Cr — Skeleton Warrior | This creature enters tapped. {1}{B}: Return this card from your graveyard to your hand. Activate only during y
  0.6 -1.0   2   7261   0.3      Frog Butler | Cr — Frog Spirit | Deathtouch {T}: Add one mana of any color. {2}: This creature gains reach until end of turn.
  0.6 -0.0   0   2010   0.3      2x Conduit Pylons | Land — Desert | When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.) 
  0.6 -1.1   2   2087   0.2      Paradise Druid | Cr — Elf Druid | This creature has hexproof as long as it's untapped. (It can't be the target of spells or abilities your oppon
  0.6 -1.2   0    637   0.3      Opal Palace | Land | {T}: Add {C}. {1}, {T}: Add one mana of any color in your commander's color identity. If you spend this mana t
  0.6 -0.6   2   9138   0.3      Pillage the Bog | Sorc | Look at the top X cards of your library, where X is twice the number of lands you control. Put one of them int
  0.6 -2.3   3   4139   0.3      Veinwitch Coven | Cr — Vampire Warlock | Menace Whenever you gain life, you may pay {B}. If you do, return target creature card from your graveyard to 
  0.6 -1.1   4   1053   0.3      Syphon Mind | Sorc | Each other player discards a card. You draw a card for each card discarded this way.
  0.6 -2.0   2   2579   1.6      Vraska Joins Up | L.Ench | When Vraska Joins Up enters, put a deathtouch counter on each creature you control. Whenever a legendary creat
  0.5 -0.1   2   7417   0.3      Altar of Bhaal // Bone Offering | Art | {2}{B}, {T}, Exile a creature you control: Return target creature card from your graveyard to the battlefield.
  0.5 -0.3   3   9070   0.3  M   Baba Lysaga, Night Witch | L.Cr — Human Warlock | {T}, Sacrifice up to three permanents: If there were three or more card types among the sacrificed permanents,
  0.5 -1.1   3   5474   0.2      Slimefoot, the Stowaway | L.Cr — Fungus | Whenever a Saproling you control dies, Slimefoot deals 1 damage to each opponent and you gain 1 life. {4}: Cre
  0.5 -1.0   4   3651   1.4      Planar Engineering | Sorc | Sacrifice two lands. Search your library for four basic land cards, put them onto the battlefield tapped, then
  0.5 -0.6   5   2938   0.3      Skirge Familiar | Cr — Phyrexian Imp | Flying Discard a card: Add {B}.
  0.5 +0.3   4   5472   0.4      Elegy Acolyte | Cr — Human Cleric | Lifelink Whenever one or more creatures you control deal combat damage to a player, you draw a card and lose 1
  0.5 -2.7   3   8924   0.3      Feral Appetite | Ench | Attacking Pests you control get +1/+0 and have deathtouch. {1}{G}: Exile target card from a graveyard. If a cr
  0.5 -2.6   5   4587   0.4      Blossoming Bogbeast | Cr — Beast | Whenever this creature attacks, you gain 2 life. Then creatures you control gain trample and get +X/+X until e
  0.5 -0.5   4  14580   0.3      Tragedy Feaster | Cr — Demon | Trample Ward—Discard a card. Infusion — At the beginning of your end step, sacrifice a permanent unless you ga
  0.4 -0.0   2   6494   1.1      Day of Black Sun | Sorc | Each creature with mana value X or less loses all abilities until end of turn. Destroy those creatures.
  0.4 +0.2   3    574   0.4      Worn Powerstone | Art | This artifact enters tapped. {T}: Add {C}{C}.
  0.4 -0.1   8   2724  25.3      Archfiend of Despair | Cr — Demon | Flying Your opponents can't gain life. At the beginning of each end step, each opponent loses life equal to th
  0.4 +0.5   2   4752   0.2      Nullpriest of Oblivion | Cr — Vampire Cleric | Kicker {3}{B} (You may pay an additional {3}{B} as you cast this spell.) Lifelink Menace (This creature can't 
  0.4 -2.2   3   8977   0.3      Trudge Garden | Ench | Whenever you gain life, you may pay {2}. If you do, create a 4/4 green Fungus Beast creature token with trampl
  0.4 +0.6   4   9438   1.2      Phoenix Fleet Airship | Art — Vehicle | Flying At the beginning of your end step, if you sacrificed a permanent this turn, create a token that's a cop
  0.4 -0.6   6   2171   0.3      Primeval Bounty | Ench | Whenever you cast a creature spell, create a 3/3 green Beast creature token. Whenever you cast a noncreature s
  0.4 -0.4   2   4180   1.0      3x Shoot the Sheriff | Inst | Destroy target non-outlaw creature. (Assassins, Mercenaries, Pirates, Rogues, and Warlocks are outlaws. Everyo
  0.4 -0.1   3   3971   2.5      Oubliette | Ench | When this enchantment enters, target creature phases out until this enchantment leaves the battlefield. Tap th
  0.4 +1.4   2  14142   0.1      Hungry Ghoul | Cr — Zombie | {1}, Sacrifice another creature: Put a +1/+1 counter on this creature.
  0.4 -2.6   4   4779   1.4      Gyome, Master Chef | L.Cr — Troll Warlock | Trample At the beginning of your end step, create a number of Food tokens equal to the number of nontoken crea
  0.3 -2.3   2    683   9.7      Innkeeper's Talent | Ench — Class | (Gain the next level as a sorcery to add its ability.) At the beginning of combat on your turn, put a +1/+1 co
  0.3 -0.3   0   2431   1.4      Manor Gate | Land — Gate | This land enters tapped. As this land enters, choose a color other than green. {T}: Add {G} or one mana of the
  0.3 -1.6   1   5993   0.3      Ankle Biter | Cr — Snake | Deathtouch
  0.3 +0.0   1   9129   0.1      Raise Dead | Sorc | Return target creature card from your graveyard to your hand.
  0.3 -0.7   3   2258   2.6      Earthbender Ascension | Ench | When this enchantment enters, earthbend 2. Then search your library for a basic land card, put it onto the bat
  0.3 -1.3   0    253   0.4      Everflowing Chalice | Art | Multikicker {2} (You may pay an additional {2} any number of times as you cast this spell.) This artifact ente
  0.3 +0.3   1   3455   1.3      Peter Parker's Camera | Art | This artifact enters with three film counters on it. {2}, {T}, Remove a film counter from this artifact: Copy 
  0.3 -1.9   7   1272   3.7      Peer into the Abyss | Sorc | Target player draws cards equal to half the number of cards in their library and loses half their life. Round 
  0.3 +0.8   6   5403   1.5      Doomsday Excruciator | Cr — Demon | Flying When this creature enters, if it was cast, each player exiles all but the bottom six cards of their lib
  0.3 +0.5   7  11609   0.1      Hollow Marauder | Cr — Specter Rogue | This spell costs {1} less to cast for each creature card in your graveyard. Flying When this creature enters, 
  0.3 +0.5   2   5895   0.3      Mindblade Render | Cr — Azra Warrior | Whenever your opponents are dealt combat damage, if any of that damage was dealt by a Warrior, you draw a card
  0.3 -0.5  10   1567   6.0      Kozilek, the Great Distortion | L.Cr — Eldrazi | When you cast this spell, if you have fewer than seven cards in hand, draw cards equal to the difference. Mena
  0.2 +0.0   4   8516   1.5      Mastermind's Acquisition | Sorc | Choose one — • Search your library for a card, put it into your hand, then shuffle. • Put a card you own from 
  0.2 -1.4   2    237   6.4      Sword of the Animist | L.Art — Equipment | Equipped creature gets +1/+1. Whenever equipped creature attacks, you may search your library for a basic land
  0.2 -0.9   0   1498   1.3      Arid Archway | Land — Desert | This land enters tapped. When this land enters, return a land you control to its owner's hand. If another Dese
  0.2 -0.7   3  11189   0.3      Egon, God of Death // Throne of Death | L.Cr — God | Deathtouch At the beginning of your upkeep, exile two cards from your graveyard. If you can't, sacrifice Egon 
  0.2 +0.6   5  15094   0.1      Bond of Revival | Sorc | Return target creature card from your graveyard to the battlefield. It gains haste until your next turn.
  0.2 -1.4   5  15942   0.2      Pizza Face, Gastromancer | L.Art Cr — Food Mutant | When Pizza Face enters, create a Food token. Disappear — At the beginning of your end step, if a permanent lef
  0.2 +0.1   0   4237   0.3      Mirage Mesa | Land — Desert | This land enters tapped. As it enters, choose a color. {T}: Add one mana of the chosen color.
  0.2 -2.8   0   2856   0.4      Mudflat Village | Land | {T}: Add {C}. {T}: Add {B}. Spend this mana only to cast a creature spell. {1}{B}, {T}, Sacrifice this land: R
  0.2 -1.4   0  11004   0.3      Skycoach Waypoint | Land | {T}: Add {C}. {3}, {T}: Target creature becomes prepared. (Only creatures with prepare spells can become prepa
  0.2 +1.0   2   5881   0.2      Gatecreeper Vine | Cr — Plant | Defender When this creature enters, you may search your library for a basic land card or a Gate card, reveal i
  0.2 +0.3   4   8610   0.2      Desecration Demon | Cr — Demon | Flying At the beginning of each combat, any opponent may sacrifice a creature of their choice. If a player doe
  0.2 +0.4   8  10113   0.5      Pestilence Demon | Cr — Demon | Flying {B}: This creature deals 1 damage to each creature and each player.
  0.2 -1.1   2   8183   0.1      2x Hardbristle Bandit | Cr — Plant Rogue | {T}: Add one mana of any color. Whenever you commit a crime, untap this creature. This ability triggers only o
  0.2 +0.7   2   5077   0.3      Idol of False Gods | Kindred Art — Eldrazi | {1}{C}, {T}: Create a 0/1 colorless Eldrazi Spawn creature token with "Sacrifice this token: Add {C}." Wheneve
  0.1 -1.6   0   1267   0.3      Maestros Theater | Land | When this land enters, sacrifice it. When you do, search your library for a basic Island, Swamp, or Mountain c
  0.1 +0.4   2   6844   0.3      Gleaming Barrier | Art Cr — Wall | Defender When this creature dies, create a Treasure token. (It's an artifact with "{T}, Sacrifice this token: 
  0.1 -0.2   5  13669   0.2      No One Left Behind | Sorc | This spell costs {3} less to cast if it targets a creature card with mana value 3 or less. Return target creat
  0.1 -1.7   6   3706   0.4      Haunting Voyage | Sorc | Choose a creature type. Return up to two creature cards of that type from your graveyard to the battlefield. I
  0.1 -2.2   1   6585   0.2      Gene Pollinator | Art Cr — Robot Insect | {T}, Tap an untapped permanent you control: Add one mana of any color.
  0.1 -0.4   2   2421   0.3      2x Consuming Corruption | Inst | Consuming Corruption deals X damage to target creature or planeswalker and you gain X life, where X is the num
  0.1 -0.3   2  10318   0.2      Servant of the Stinger | Cr — Human Warlock | Deathtouch Whenever this creature deals combat damage to a player, if you've committed a crime this turn, you 
  0.1 -1.6   3  11637   0.2      Potioner's Trove | Art | {T}: Add one mana of any color. {T}: You gain 2 life. Activate only if you've cast an instant or sorcery spell
  0.1 -1.2   3   5141   0.4      Rush of Dread | Sorc | Spree (Choose one or more additional costs.) + {1} — Target opponent sacrifices half the creatures they contro
  0.1 -0.3   3  16992   0.2      Sigil of Myrkul | Ench | At the beginning of combat on your turn, mill a card. When you do, if there are four or more creature cards in
  0.1 -0.7   3   8778   0.3      Unseal the Necropolis | Inst | Each player mills three cards. Then you return up to two creature cards from your graveyard to your hand. (To 
  0.1 -0.5   4   2549   3.5      Dread Presence | Cr — Nightmare | Whenever a Swamp you control enters, choose one — • You draw a card and you lose 1 life. • This creature deals
  0.1 -0.9   5   6416   0.3      Dire Fleet Ravager | Cr — Orc Pirate Wizard | Menace, deathtouch When this creature enters, each player loses a third of their life, rounded up.
  0.1 -0.9   2   8262   0.3      Power Word Kill | Inst | Destroy target non-Angel, non-Demon, non-Devil, non-Dragon creature.
  0.1 -4.0   2   1982   9.7      Springleaf Parade | Ench | When this enchantment enters, create X 1/1 colorless Shapeshifter creature tokens with changeling. (They're ev
  0.1 -0.3   2   9813   0.4      Victim of Night | Inst | Destroy target non-Vampire, non-Werewolf, non-Zombie creature.
  0.1 -2.1   3   1759    -       Adaptive Automaton | Art Cr — Construct | As this creature enters, choose a creature type. This creature is the chosen type in addition to its other typ
  0.1 -1.3   4  15492   0.2      Myconid Spore Tender | Cr — Fungus | Infesting Spores — When this creature enters, destroy up to one target artifact or enchantment.
  0.1 -1.4   4   5585    -       Tendrils of Agony | Sorc | Target player loses 2 life and you gain 2 life. Storm (When you cast this spell, copy it for each spell cast b
  0.1 +0.0   6   3807   6.1      Planetarium of Wan Shi Tong | L.Art | {1}, {T}: Scry 2. Whenever you scry or surveil, look at the top card of your library. You may cast that card w
  0.1 +0.6   6  14781   0.2      Spinewoods Armadillo | Cr — Armadillo | Reach Ward {3} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter 
  0.1 -0.2   2  14160   0.2      Wreckage Wickerfolk | Art Cr — Scarecrow | Flying When this creature enters, surveil 2. (Look at the top two cards of your library, then put any number o
  0.1 -0.6   3  12084   0.1      Clear Shot | Inst | Target creature you control gets +1/+1 until end of turn. It deals damage equal to its power to target creatur
  0.1 +0.7   3  11761   1.2      Lotus Ring | Art — Equipment | Indestructible Equipped creature gets +3/+3 and has vigilance and "{T}, Sacrifice this creature: Add three man
  0.1 -0.4   3   9750    -       Pox | Sorc | Each player loses a third of their life, then discards a third of the cards in their hand, then sacrifices a t
  0.1 +0.4   6   9916   0.2      Eldrazi Ravager | Cr — Eldrazi | Annihilator 1 (Whenever this creature attacks, defending player sacrifices a permanent of their choice.) Sacri
  0.1 -0.5   7   9733   2.8      Shard of the Void Dragon | Cr — C'tan | Flying Spear of the Void Dragon — Whenever this creature attacks, each opponent sacrifices a nonland permanent
  0.1 -0.8   0   1465   1.4      Muraganda Raceway | Land | Start your engines! (If you have no speed, it starts at 1. It increases once on each of your turns when an opp
  0.1 -1.6   1   1501   1.8      Lavaspur Boots | Art — Equipment | Equipped creature gets +1/+0 and has haste and ward {1}. (Whenever it becomes the target of a spell or ability
  0.1 -1.9   2   6482   1.1      Demon's Horn | Art | Whenever a player casts a black spell, you may gain 1 life.
  0.1 -0.4   2   4930   0.2      Prophetic Prism | Art | When this artifact enters, draw a card. {1}, {T}: Add one mana of any color.
  0.1 -1.1   4   3611   0.3      2x Map the Frontier | Sorc | Search your library for up to two basic land cards and/or Desert cards, put them onto the battlefield tapped, 
  0.1 -0.3   4   1743   4.8      Nyx Lotus | L.Art | Nyx Lotus enters tapped. {T}: Choose a color. Add an amount of mana of that color equal to your devotion to th
  0.1 -1.7   1   5991   0.3      3x Trash the Town | Inst | Spree (Choose one or more additional costs.) + {2} — Put two +1/+1 counters on target creature. + {1} — Target
  0.1 -2.2   3   5532   0.4      Freestrider Lookout | Cr — Human Rogue | Reach Whenever you commit a crime, look at the top five cards of your library. You may put a land card from am
  0.1 -0.0   3   7982   0.2      Tip the Scales | Sorc | Sacrifice a creature. When you do, all creatures get -X/-X until end of turn, where X is the sacrificed creatu
  0.1 -1.2   8   2117  13.2      Cityscape Leveler | Art Cr — Construct | Trample When you cast this spell and whenever this creature attacks, destroy up to one target nonland permanen
  0.1 -2.2   8   9945    -       Overwhelming Forces | Sorc | Destroy all creatures target opponent controls. Draw a card for each creature destroyed this way.
  0.1 -0.6   1   3703   0.8      Magus of the Candelabra | Cr — Human Wizard | {X}, {T}: Untap X target lands.
  0.1 -1.4   2  11057   0.3      Bristlebane Battler | Cr — Kithkin Soldier | Trample, ward {2} This creature enters with five -1/-1 counters on it. Whenever another creature you control e
  0.1 -1.6   2   6733   0.2      3x Dance of the Tumbleweeds | Sorc | Spree (Choose one or more additional costs.) + {1} — Search your library for a basic land card or a Desert car
  0.1 -0.6   2  11279   0.1      Emergency Weld | Sorc | Return target artifact or creature card from your graveyard to your hand. Create a 1/1 colorless Soldier artif
  0.1 -0.0   2  11461   0.2      Raven of Fell Omens | Cr — Bird | Flying Whenever you commit a crime, each opponent loses 1 life and you gain 1 life. This ability triggers only
  0.1 -1.2   3   4345   0.2      Barkform Harvester | Art Cr — Shapeshifter | Changeling (This card is every creature type.) Reach {2}: Put target card from your graveyard on the bottom of
  0.1 -2.9   3  17974   0.4  M   Chief Warg's Company | Cr — Wolf | Trample This creature can't attack unless you control two or more other Wolves. At the beginning of your upkee
  0.1 -3.0   3    742   1.1      Palladium Myr | Art Cr — Myr | {T}: Add {C}{C}.
  0.1 -1.3   3   9345   0.2      You Happen On a Glade | Inst | Choose one — • Journey On — Search your library for up to two basic land cards, reveal them, put them into you
  0.1 -1.6   5   6689   0.3      Eusocial Engineering | Ench | Landfall — Whenever a land you control enters, create a 2/2 colorless Robot artifact creature token. Warp {1}{
  0.1 -1.0   6  11221   0.3      Verdant Confluence | Sorc | Choose three. You may choose the same mode more than once. • Put two +1/+1 counters on target creature. • Retu
  0.1 -0.8   8   3987   0.3      Breaker of Creation | Cr — Eldrazi | When you cast this spell, you gain 1 life for each colorless permanent you control. Hexproof from each color A
  0.1 -3.1   9   4279   0.3      Bygone Colossus | Art Cr — Robot Giant | Warp {3} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the
  0.0 -0.2   1  16509   0.1      Callous Inspector | Cr — Human Soldier | Menace (This creature can't be blocked except by two or more creatures.) When this creature dies, it deals 1 d
  0.0 -0.3   2  11668   0.6      Scourge of the Skyclaves | Cr — Demon | Kicker {4}{B} When you cast this spell, if it was kicked, each player loses half their life, rounded up. Scour
  0.0 -2.1   3   2916   1.8      Outcaster Trailblazer | Cr — Human Druid | When this creature enters, add one mana of any color. Whenever another creature you control with power 4 or gr
  0.0 -0.8   4  10084   0.3      Colossal Rattlewurm | Cr — Wurm | Colossal Rattlewurm has flash as long as you control a Desert. Trample {1}{G}, Exile this card from your grave
  0.0 -0.3   4  12952   0.2      Drag to the Underworld | Inst | This spell costs {X} less to cast, where X is your devotion to black. (Each {B} in the mana costs of permanent
  0.0 -0.9   4   5678   4.0      Pact Weapon | Art — Equipment | As long as this Equipment is attached to a creature, you don't lose the game for having 0 or less life. Whenev
  0.0 -1.1   6   5883   0.3      Pontiff of Blight | Cr — Zombie Cleric | Extort (Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that 
  0.0 -1.4   0   6340   0.3      Sandstorm Verge | Land — Desert | {T}: Add {C}. {3}, {T}: Target creature can't block this turn. Activate only as a sorcery.
  0.0 -1.3   1   5840   0.8      Blood Celebrant | Cr — Human Cleric | {B}, Pay 1 life: Add one mana of any color.
  0.0 -1.8   1   5154   0.3      Fountainport Bell | Art | When this artifact enters, you may search your library for a basic land card, reveal it, then shuffle and put 
  0.0 -0.2   1  15724   0.3      Gonti's Machinations | Ench | Whenever you lose life for the first time each turn, you get {E}. (You get an energy counter. Damage causes lo
  0.0 -0.1   1  18945   0.2      2x Unfortunate Accident | Inst | Spree (Choose one or more additional costs.) + {2}{B} — Destroy target creature. + {1} — Create a 1/1 red Merc
  0.0 -0.5   2   6523   0.1      Mazemind Tome | Art — Book | {T}, Put a page counter on this artifact: Scry 1. (Look at the top card of your library. You may put that card
  0.0 -0.3   2  13667   0.1      Mourner's Surprise | Sorc | Return up to one target creature card from your graveyard to your hand. Create a 1/1 red Mercenary creature to
  0.0 -3.5   2   4710   0.4      Outrageous Robbery | Inst | Target opponent exiles the top X cards of their library face down. You may look at and play those cards for as
  0.0 -1.9   2   3448   4.9      Torpor Orb | Art | Creatures entering don't cause abilities to trigger.
  0.0 -1.0   3   5370   0.2      Bandit's Haul | Art | Whenever you commit a crime, put a loot counter on this artifact. This ability triggers only once each turn. (
  0.0 +0.3   3  12773   0.3      Baron Helmut Zemo | L.Cr — Human Noble Villain | Whenever you cast a black spell from your hand, Baron Helmut Zemo connives. Boast — Exile any number of black 
  0.0 -1.7   3   9346   0.3      Bioengineered Future | Ench | When this enchantment enters, create a Lander token. (It's an artifact with "{2}, {T}, Sacrifice this token: S
  0.0 -1.6   3   2093   5.7      Bitterthorn, Nissa's Animus | L.Art — Equipment | Living weapon (When this Equipment enters, create a 0/0 black Phyrexian Germ creature token, then attach this 
  0.0 -2.2   3  10718   0.2      Case of the Trampled Garden | Ench — Case | When this Case enters, distribute two +1/+1 counters among one or two target creatures you control. To solve —
  0.0 -3.5   3   3515   0.3      Firdoch Core | Kindred Art — Shapeshifter | Changeling (This card is every creature type.) {T}: Add one mana of any color. {4}: This artifact becomes a 4/
  0.0 -2.7   3  11539   0.1      Knockout Maneuver | Sorc | Put a +1/+1 counter on target creature you control, then it deals damage equal to its power to target creature
  0.0 -2.8   3   4990   0.3      Ornery Tumblewagg | Cr — Brushwagg Mount | At the beginning of combat on your turn, put a +1/+1 counter on target creature. Whenever this creature attack
  0.0 -2.5   3  11374   0.2      Rattleback Apothecary | Cr — Gorgon Warlock | Deathtouch Whenever you commit a crime, target creature you control gains your choice of menace or lifelink un
  0.0 -1.1   4   4235   0.3      Firemind Vessel | Art | This artifact enters tapped. {T}: Add two mana of different colors.
  0.0 -5.2   4   1499   1.7  MF  Meren of Clan Nel Toth | L.Cr — Human Shaman | Whenever another creature you control dies, you get an experience counter. At the beginning of your end step, 
  0.0 -1.7   4   5876   2.0      Omenpath Journey | Ench | When this enchantment enters, search your library for up to five land cards that have different names, exile t
  0.0 -1.3   4   7564   0.3      Surrak, the Hunt Caller | L.Cr — Human Warrior | Formidable — At the beginning of combat on your turn, if creatures you control have total power 8 or greater, 
  0.0 -0.4   4   9069   0.3      Tendrils of Corruption | Inst | Tendrils of Corruption deals X damage to target creature and you gain X life, where X is the number of Swamps 
  -     -    0    906   0.4      Blighted Woodland | Land | {T}: Add {C}. {3}{G}, {T}, Sacrifice this land: Search your library for up to two basic land cards, put them o
  -     -    0   2840   0.4      Gingerbread Cabin | Land — Forest | ({T}: Add {G}.) This land enters tapped unless you control three or more other Forests. When this land enters 
  -     -    0    332   0.3      Golgari Rot Farm | Land | This land enters tapped. When this land enters, return a land you control to its owner's hand. {T}: Add {B}{G}
  -     -    0   7544   0.4      Plaza of Harmony | Land | When this land enters, if you control two or more Gates, you gain 3 life. {T}: Add {C}. {T}: Add one mana of a
  -     -    0   1579   1.5      Radiant Fountain | Land | When this land enters, you gain 2 life. {T}: Add {C}.
  -     -    0     19   0.3      Rogue's Passage | Land | {T}: Add {C}. {4}, {T}: Target creature can't be blocked this turn.
  -     -    0   7404   0.6      Sapseep Forest | Land — Forest | ({T}: Add {G}.) This land enters tapped. {G}, {T}: You gain 1 life. Activate only if you control two or more g
  -     -    0    428   0.4      Tainted Wood | Land | {T}: Add {C}. {T}: Add {B} or {G}. Activate only if you control a Swamp.
  -     -    0   1067  14.5      Witch's Clinic | Land | {T}: Add {C}. {2}, {T}: Target commander gains lifelink until end of turn.
  -     -    1   1424   1.0      Elixir of Immortality | Art | {2}, {T}: You gain 5 life. Shuffle this artifact and your graveyard into their owner's library.
  -     -    1   5664   0.7      Font of Agonies | Ench | Whenever you pay life, put that many blood counters on this enchantment. {1}{B}, Remove four blood counters fr
  -     -    1   4451   5.0      Lost Jitte | L.Art — Equipment | Whenever equipped creature deals combat damage, put a charge counter on Lost Jitte. Remove a charge counter fr
  -     -    1  13077   0.3      Suffer the Past | Inst | Exile X target cards from target player's graveyard. For each card exiled this way, that player loses 1 life a
  -     -    1   5438   3.8      Vampiric Link | Ench — Aura | Enchant creature Whenever enchanted creature deals damage, you gain that much life.
  -     -    2   4214   0.3      Bandit's Talent | Ench — Class | (Gain the next level as a sorcery to add its ability.) When this Class enters, each opponent discards two card
  -     -    2  12976   0.1      Blood Hustler | Cr — Vampire Rogue | Whenever you commit a crime, put a +1/+1 counter on this creature. This ability triggers only once each turn. 
  -     -    2   3155   1.1      Damnable Pact | Sorc | Target player draws X cards and loses X life.
  -     -    2   3414   1.7      Lembas | Art — Food | When this artifact enters, scry 1, then draw a card. {2}, {T}, Sacrifice this artifact: You gain 3 life. When 
  -     -    2   9535   0.4      Morlun, Devourer of Spiders | L.Cr — Vampire Villain | Lifelink Morlun enters with X +1/+1 counters on him. When Morlun enters, he deals X damage to target opponent.
  -     -    2   7101   0.4      Patchwork Automaton | Art Cr — Construct | Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unl
  -     -    2     26   0.4      Rampant Growth | Sorc | Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.
  -     -    2    809   0.4      Steel Overseer | Art Cr — Construct | {T}: Put a +1/+1 counter on each artifact creature you control.
  -     -    2  10617   0.4      Sun Droplet | Art | Whenever you're dealt damage, put that many charge counters on this artifact. At the beginning of each upkeep,
  -     -    2  13182   0.2      Tablet of Compleation | Art | {T}: Put an oil counter on this artifact. {T}: Add {C}. Activate only if this artifact has two or more oil cou
  -     -    2    493   0.4      Talisman of Resilience | Art | {T}: Add {C}. {T}: Add {B} or {G}. This artifact deals 1 damage to you.
  -     -    2   5961   0.3      Thieves' Tools | Art — Equipment | When this Equipment enters, create a Treasure token. (It's an artifact with "{T}, Sacrifice this token: Add on
  -     -    2  10689   0.3      Zhentarim Bandit | Cr — Halfling Rogue | Whenever this creature attacks, you may pay 1 life. If you do, create a Treasure token. (It's an artifact with
  -     -    3   6688   0.4      Bloodthirsty Aerialist | Cr — Vampire Rogue | Flying Whenever you gain life, put a +1/+1 counter on this creature.
  -     -    3  13749   0.3      Deliver Unto Evil | Sorc | Choose up to four target cards in your graveyard. If you control a Bolas planeswalker, return those cards to y
  -     -    3  10373   0.3      Druidic Satchel | Art | {2}, {T}: Reveal the top card of your library. If it's a creature card, create a 1/1 green Saproling creature 
  -     -    3   4978   0.2      Gaze of Granite | Sorc | Destroy each nonland permanent with mana value X or less.
  -     -    3   6782   0.3      Gift of Paradise | Ench — Aura | Enchant land When this Aura enters, you gain 3 life. Enchanted land has "{T}: Add two mana of any one color."
  -     -    3  14474   0.2      Heartless Pillage | Sorc | Target opponent discards two cards. Raid — If you attacked this turn, create a Treasure token. (It's an artifa
  -     -    3  14739   0.2      Honor Troll | Cr — Troll Druid | Vigilance If you would gain life, you gain that much life plus 1 instead. This creature gets +2/+1 as long as 
  -     -    3  13596   0.5      Jerren, Corrupted Bishop // Ormendahl, the Corrupter | L.Cr — Human Cleric | Whenever Jerren enters or another nontoken Human you control dies, you lose 1 life and create a 1/1 white Huma
  -     -    3   5128   0.4      Leyline Prowler | Cr — Nightmare Beast | Deathtouch, lifelink {T}: Add one mana of any color.
  -     -    3    962   2.7      Loxodon Warhammer | Art — Equipment | Equipped creature gets +3/+0 and has trample and lifelink. Equip {3}
  -     -    3   1350   0.3      Pristine Talisman | Art | {T}: Add {C}. You gain 1 life.
  -     -    3  10628   0.3      Pulse of Murasa | Inst | Return target creature or land card from a graveyard to its owner's hand. You gain 6 life.
  -     -    3  11555   0.2      Rakish Crew | Ench | When this enchantment enters, create a 1/1 red Mercenary creature token with "{T}: Target creature you control
  -     -    3  13333   0.3      Reckless Spite | Inst | Destroy two target nonblack creatures. You lose 5 life.
  -     -    3  16196   0.3      Sautekh Immortal | Art Cr — Necron | Flash Elite Troops — This creature enters with a +1/+1 counter on it for each creature that died this turn.
  -     -    3  10806   0.3      Silversmote Ghoul | Cr — Zombie Vampire | At the beginning of your end step, if you gained 3 or more life this turn, return this card from your graveyar
  -     -    3   1742   0.2      Vampire Nighthawk | Cr — Vampire Shaman | Flying Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.) Lifelink (Damage de
