# Owned PAPER pool for The Cabbage Merchant (mono-G identity, Commander-legal). Format = paper Commander, multiplayer (4-player pod, 40 life).
# Sources: deck = the physical deck decks/paper/decks/the-cabbage-merchant.txt | side = the operator's spare pile decks/brawl/cabbage-merchant-sidedeck.txt | open = decks/paper/open-cards.txt (owned paper cards not sleeved in Meren/Imotekh/Tazri/Ramos). Cards sleeved in those four decks are NOT available.
# Corpus = 2001 real Cabbage Merchant paper Commander decks (VPS, 2026-09-14): inc% = share running the card, lift = commander-specific strength (>2 strong). Multiplayer data, so it applies directly.
# db:not_legal after a source = the card DB doubts Commander legality; check before using. Basic Forest is unlimited and not listed.
# inc% | lift | q | source | name | cost | cmc | type | rarity | oracle

95.7 | 3.10 | 1 | deck | Peregrin Took | {2}{G} | 3 | Legendary Creature — Halfling Citizen | uncommon | If one or more tokens would be created under your control, those tokens plus an additional Food token are created instead. (It's an artifact with "{2}, {T}, Sacrifice this token: You gain 3 life.") Sacrifice three Foods: Draw a card.
0.7 | -1.28 | 1 | side+open | Regal Behemoth | {4}{G}{G} | 6 | Creature — Dinosaur | rare | Trample When this creature enters, you become the monarch. Whenever you tap a land for mana while you're the monarch, add an additional one mana of any color.
0.7 | 0.52 | 1 | side+open | Saber-Tooth Moose-Lion | {4}{G}{G} | 6 | Creature — Elk Cat | common | Reach Forestcycling {2} ({2}, Discard this card: Search your library for a Forest card, reveal it, put it into your hand, then shuffle.)
0.7 | -1.00 | 1 | open | Kozilek, the Great Distortion | {8}{C}{C} | 10 | Legendary Creature — Eldrazi | mythic | When you cast this spell, if you have fewer than seven cards in hand, draw cards equal to the difference. Menace Discard a card with mana value X: Counter target spell with mana value X.
0.6 | -0.62 | 1 | open | Sapseep Forest |  | 0 | Land — Forest | uncommon | ({T}: Add {G}.) This land enters tapped. {G}, {T}: You gain 1 life. Activate only if you control two or more green permanents.
0.6 | -0.23 | 1 | side+open | Bioengineered Future | {1}{G}{G} | 3 | Enchantment | rare | When this enchantment enters, create a Lander token. (It's an artifact with "{2}, {T}, Sacrifice this token: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.") Each creature you control enters with an additional +1/+1 counter on it for each land that entered the battlefield under your control this turn.
0.6 | -1.61 | 1 | side+open | Harvest Season | {2}{G} | 3 | Sorcery | rare | Search your library for up to X basic land cards, where X is the number of tapped creatures you control, put those cards onto the battlefield tapped, then shuffle.
0.6 | -2.93 | 1 | side+open | Hunter's Insight | {2}{G} | 3 | Instant | uncommon | Choose target creature you control. Whenever that creature deals combat damage to a player or planeswalker this turn, draw that many cards.
0.6 | -1.27 | 1 | deck | Oviya, Automech Artisan | {3}{G} | 4 | Legendary Creature — Human Artificer | rare | Each creature that's attacking one of your opponents has trample. {G}, {T}: You may put a creature or Vehicle card from your hand onto the battlefield. If you put an artifact onto the battlefield this way, put two +1/+1 counters on it.
0.6 | 1.39 | 1 | open | Planetarium of Wan Shi Tong | {6} | 6 | Legendary Artifact | mythic | {1}, {T}: Scry 2. Whenever you scry or surveil, look at the top card of your library. You may cast that card without paying its mana cost. Do this only once each turn. (Look at the card after you scry or surveil.)
0.6 | -0.61 | 1 | side+open | Abundant Growth | {G} | 1 | Enchantment — Aura | common | Enchant land When this Aura enters, draw a card. Enchanted land has "{T}: Add one mana of any color."
0.6 | -1.64 | 1 | side+open | Primal Might | {X}{G} | 1 | Sorcery | rare | Target creature you control gets +X/+X until end of turn. Then it fights up to one target creature you don't control. (Each deals damage equal to its power to the other.)
0.6 | -1.28 | 1 | side+open | Wildwood Scourge | {X}{G} | 1 | Creature — Hydra | uncommon | This creature enters with X +1/+1 counters on it. Whenever one or more +1/+1 counters are put on another non-Hydra creature you control, put a +1/+1 counter on this creature.
0.6 | -1.66 | 1 | open | Tangled Florahedron // Tangled Vale | {1}{G} | 2 | Creature — Elemental // Land | uncommon | {T}: Add {G}. // This land enters tapped. {T}: Add {G}.
0.6 | -2.07 | 1 | open | Planar Engineering | {3}{G} | 4 | Sorcery | rare | Sacrifice two lands. Search your library for four basic land cards, put them onto the battlefield tapped, then shuffle.
0.5 | -1.17 | 1 | side+open | Frog Butler | {1}{G} | 2 | Creature — Frog Spirit | common | Deathtouch {T}: Add one mana of any color. {2}: This creature gains reach until end of turn.
0.5 | -2.16 | 1 | side+open | Gigantosaurus | {G}{G}{G}{G}{G} | 5 | Creature — Dinosaur | rare | 
0.5 | 0.64 | 1 | open | Sproutback Trudge | {7}{G}{G} | 9 | Creature — Fungus Beast | rare | This spell costs {X} less to cast, where X is the amount of life you gained this turn. Trample At the beginning of your end step, if you gained life this turn, you may cast this creature from your graveyard.
0.5 | -2.21 | 1 | deck | Escape Tunnel |  | 0 | Land | common | {T}, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle. {T}, Sacrifice this land: Target creature with power 2 or less can't be blocked this turn.
0.5 | -0.58 | 1 | side+open | Gene Pollinator | {G} | 1 | Artifact Creature — Robot Insect | common | {T}, Tap an untapped permanent you control: Add one mana of any color.
0.5 | -0.06 | 1 | side+open | Animal Attendant | {1}{G} | 2 | Creature — Human Citizen | uncommon | {T}: Add one mana of any color. If that mana is spent to cast a non-Human creature spell, that creature enters with an additional +1/+1 counter on it.
0.5 | -0.41 | 1 | open | Ezzaroot Channeler | {5}{G} | 6 | Creature — Treefolk Druid | rare | Reach Creature spells you cast cost {X} less to cast, where X is the amount of life you gained this turn. {T}: You gain 2 life.
0.4 | -0.88 | 1 | open | Everflowing Chalice | {0} | 0 | Artifact | uncommon | Multikicker {2} (You may pay an additional {2} any number of times as you cast this spell.) This artifact enters with a charge counter on it for each time it was kicked. {T}: Add {C} for each charge counter on this artifact.
0.4 | -1.17 | 1 | deck | Nesting Grounds |  | 0 | Land | rare | {T}: Add {C}. {1}, {T}: Move a counter from target permanent you control onto a second target permanent. Activate only as a sorcery.
0.4 | -1.50 | 1 | open | Commander's Sphere | {3} | 3 | Artifact | common | {T}: Add one mana of any color in your commander's color identity. Sacrifice this artifact: Draw a card.
0.4 | -1.86 | 1 | deck | Lifeblood Hydra | {X}{G}{G}{G} | 3 | Creature — Hydra | rare | Trample This creature enters with X +1/+1 counters on it. When this creature dies, you gain life and draw cards equal to its power.
0.4 | -0.60 | 1 | side+open | Cityscape Leveler | {8} | 8 | Artifact Creature — Construct | mythic | Trample When you cast this spell and whenever this creature attacks, destroy up to one target nonland permanent. Its controller creates a tapped Powerstone token. Unearth {8}
0.4 | -1.43 | 1 | deck | Ash Barrens |  | 0 | Land | common | {T}: Add {C}. Basic landcycling {1} ({1}, Discard this card: Search your library for a basic land card, reveal it, put it into your hand, then shuffle.)
0.4 | -0.05 | 1 | open | Radiant Fountain |  | 0 | Land | common | When this land enters, you gain 2 life. {T}: Add {C}.
0.4 | -1.59 | 1 | side+open | Malevolent Rumble | {1}{G} | 2 | Sorcery | common | Reveal the top four cards of your library. You may put a permanent card from among them into your hand. Put the rest into your graveyard. Create a 0/1 colorless Eldrazi Spawn creature token with "Sacrifice this token: Add {C}."
0.4 | -3.08 | 1 | side+open | Elvish Archdruid | {1}{G}{G} | 3 | Creature — Elf Druid | rare | Other Elf creatures you control get +1/+1. {T}: Add {G} for each Elf you control.
0.4 | -0.99 | 1 | side+open | Elemental Teachings | {4}{G} | 5 | Instant — Lesson | rare | Search your library for up to four land cards with different names and reveal them. An opponent chooses two of those cards. Put the chosen cards into your graveyard and the rest onto the battlefield tapped, then shuffle.
0.4 | -1.95 | 1 | open | Verdant Sun's Avatar | {5}{G}{G} | 7 | Creature — Dinosaur Avatar | rare | Whenever this creature or another creature you control enters, you gain life equal to that creature's toughness.
0.3 | -0.74 | 1 | open | Elixir of Immortality | {1} | 1 | Artifact | uncommon | {2}, {T}: You gain 5 life. Shuffle this artifact and your graveyard into their owner's library.
0.3 | -1.45 | 1 | deck | Spry and Mighty | {4}{G} | 5 | Sorcery | rare | Choose exactly two creatures you control. You draw X cards and the chosen creatures get +X/+X and gain trample until end of turn, where X is the difference between the chosen creatures' powers.
0.3 | -0.58 | 1 | open | Peter Parker's Camera | {1} | 1 | Artifact | rare | This artifact enters with three film counters on it. {2}, {T}, Remove a film counter from this artifact: Copy target activated or triggered ability you control. You may choose new targets for the copy.
0.3 | -1.66 | 1 | side+open | Trash the Town | {G} | 1 | Instant | uncommon | Spree (Choose one or more additional costs.) + {2} — Put two +1/+1 counters on target creature. + {1} — Target creature gains trample until end of turn. + {1} — Until end of turn, target creature gains "Whenever this creature deals combat damage to a player, draw two cards."
0.3 | 1.64 | 1 | side+open | Shortcut to Mushrooms | {1}{G} | 2 | Enchantment | uncommon | When this enchantment enters, the Ring tempts you. At the beginning of your end step, if a permanent you controlled left the battlefield this turn, put a +1/+1 counter on target creature you control.
0.3 | -2.95 | 1 | open | Sword of the Animist | {2} | 2 | Legendary Artifact — Equipment | rare | Equipped creature gets +1/+1. Whenever equipped creature attacks, you may search your library for a basic land card, put it onto the battlefield tapped, then shuffle. Equip {2}
0.3 | -0.65 | 1 | deck | Vivien's Arkbow | {1}{G} | 2 | Legendary Artifact | rare | {X}, {T}, Discard a card: Look at the top X cards of your library. You may put a creature card with mana value X or less from among them onto the battlefield. Put the rest on the bottom of your library in a random order.
0.3 | -0.50 | 1 | open | Freestrider Lookout | {2}{G} | 3 | Creature — Human Rogue | rare | Reach Whenever you commit a crime, look at the top five cards of your library. You may put a land card from among them onto the battlefield tapped. Put the rest on the bottom of your library in a random order. This ability triggers only once each turn. (Targeting opponents, anything they control, and/or cards in their graveyards is a crime.)
0.3 | -0.91 | 1 | side+open | Master's Guidance | {2}{G} | 3 | Enchantment | rare | Whenever you attack with two or more legendary creatures, put a +1/+1 counter on each of up to two target attacking creatures. At the beginning of your end step, if you control a creature with power 4 or greater, draw a card.
0.3 | 0.65 | 1 | side+open | Match the Odds | {2}{G} | 3 | Sorcery — Lesson | uncommon | Create a 1/1 white Ally creature token. Put a +1/+1 counter on it for each creature your opponents control.
0.3 | 1.11 | 1 | open | Pest Rescuer | {2}{G} | 3 | Creature — Dryad Druid | rare | At the beginning of each upkeep, if you don't control a Pest creature token, create a 1/1 black and green Pest creature token with "When this token dies, you gain 1 life." If you would gain life, you gain that much life plus 1 instead.
0.3 | 0.06 | 1 | open | Pristine Talisman | {3} | 3 | Artifact | common | {T}: Add {C}. You gain 1 life.
0.3 | -3.16 | 1 | side+open | Roiling Regrowth | {2}{G} | 3 | Instant | uncommon | Sacrifice a land. Search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle.
0.3 | -1.71 | 1 | side+open | Heroes' Bane | {3}{G}{G} | 5 | Creature — Hydra | rare | This creature enters with four +1/+1 counters on it. {2}{G}{G}: Put X +1/+1 counters on this creature, where X is its power.
0.3 | -0.16 | 1 | open | Breaker of Creation | {6}{C}{C} | 8 | Creature — Eldrazi | uncommon | When you cast this spell, you gain 1 life for each colorless permanent you control. Hexproof from each color Annihilator 2 (Whenever this creature attacks, defending player sacrifices two permanents of their choice.)
0.2 | -1.77 | 1 | open | Ornithopter of Paradise | {2} | 2 | Artifact Creature — Thopter | common | Flying {T}: Add one mana of any color.
0.2 | -2.91 | 1 | open | Outcaster Trailblazer | {2}{G} | 3 | Creature — Human Druid | rare | When this creature enters, add one mana of any color. Whenever another creature you control with power 4 or greater enters, draw a card. Plot {2}{G} (You may pay {2}{G} and exile this card from your hand. Cast it as a sorcery on a later turn without paying its mana cost. Plot only as a sorcery.)
0.2 | -0.87 | 1 | open | Worn Powerstone | {3} | 3 | Artifact | uncommon | This artifact enters tapped. {T}: Add {C}{C}.
0.2 | -2.34 | 1 | open | Nyx Lotus | {4} | 4 | Legendary Artifact | rare | Nyx Lotus enters tapped. {T}: Choose a color. Add an amount of mana of that color equal to your devotion to that color. (Your devotion to a color is the number of mana symbols of that color in the mana costs of permanents you control.)
0.2 | -2.25 | 1 | open | Mycoloth | {3}{G}{G} | 5 | Creature — Fungus | rare | Devour 2 (As this creature enters, you may sacrifice any number of creatures. It enters with twice that many +1/+1 counters on it.) At the beginning of your upkeep, create a 1/1 green Saproling creature token for each +1/+1 counter on this creature.
0.2 | -1.45 | 1 | open | Nissa's Renewal | {5}{G} | 6 | Sorcery | rare | Search your library for up to three basic land cards, put them onto the battlefield tapped, then shuffle. You gain 7 life.
0.2 | -1.08 | 1 | side+open | Bane of Bala Ged | {7} | 7 | Creature — Eldrazi | uncommon | Whenever this creature attacks, defending player exiles two permanents they control.
0.2 | -0.74 | 1 | open | Muraganda Raceway |  | 0 | Land | rare | Start your engines! (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.) {T}: Add {C}. Max speed — {T}: Add {C}{C}.
0.2 | -3.33 | 1 | open | Riveteers Overlook |  | 0 | Land | common | When this land enters, sacrifice it. When you do, search your library for a basic Swamp, Mountain, or Forest card, put it onto the battlefield tapped, then shuffle and you gain 1 life.
0.2 | -2.54 | 1 | open | Ankle Biter | {G} | 1 | Creature — Snake | common | Deathtouch
0.2 | -2.92 | 1 | side+open | Giant Growth | {G} | 1 | Instant | common | Target creature gets +3/+3 until end of turn.
0.2 | 0.30 | 1 | open | Mazemind Tome | {2} | 2 | Artifact — Book | rare | {T}, Put a page counter on this artifact: Scry 1. (Look at the top card of your library. You may put that card on the bottom.) {2}, {T}, Put a page counter on this artifact: Draw a card. When there are four or more page counters on this artifact, exile it. If you do, you gain 4 life.
0.2 | -3.19 | 1 | side+open | Chomping Changeling | {2}{G} | 3 | Creature — Shapeshifter | uncommon | Changeling (This card is every creature type.) When this creature enters, destroy up to one target artifact or enchantment.
0.2 | 0.62 | 1 | open | Honor Troll | {2}{G} | 3 | Creature — Troll Druid | uncommon | Vigilance If you would gain life, you gain that much life plus 1 instead. This creature gets +2/+1 as long as you have 25 or more life.
0.2 | -1.24 | 1 | side+open | Knockout Maneuver | {2}{G} | 3 | Sorcery | uncommon | Put a +1/+1 counter on target creature you control, then it deals damage equal to its power to target creature an opponent controls.
0.2 | -2.55 | 1 | side | Mutable Explorer | {2}{G} | 3 | Creature — Shapeshifter | rare | Changeling (This card is every creature type.) When this creature enters, create a tapped Mutavault token. (It's a land with "{T}: Add {C}" and "{1}: This token becomes a 2/2 creature with all creature types until end of turn. It's still a land.")
0.2 | -2.16 | 1 | side+open | Predator Ooze | {G}{G}{G} | 3 | Creature — Ooze | rare | Indestructible (Damage and effects that say "destroy" don't destroy this creature.) Whenever this creature attacks, put a +1/+1 counter on it. Whenever a creature dealt damage by this creature this turn dies, put a +1/+1 counter on this creature.
0.2 | -1.48 | 1 | side+open | Eusocial Engineering | {3}{G}{G} | 5 | Enchantment | uncommon | Landfall — Whenever a land you control enters, create a 2/2 colorless Robot artifact creature token. Warp {1}{G} (You may cast this card from your hand for its warp cost. Exile this enchantment at the beginning of the next end step, then you may cast it from exile on a later turn.)
0.2 | -1.09 | 1 | side+open | Spider-Man, Brooklyn Visionary | {4}{G} | 5 | Legendary Creature — Spider Human Hero | common | Web-slinging {2}{G} (You may cast this spell for {2}{G} if you also return a tapped creature you control to its owner's hand.) When Spider-Man enters, search your library for a basic land card, put it onto the battlefield tapped, then shuffle.
0.2 | 0.49 | 1 | side+open | Eldrazi Ravager | {5}{C} | 6 | Creature — Eldrazi | uncommon | Annihilator 1 (Whenever this creature attacks, defending player sacrifices a permanent of their choice.) Sacrifice two Eldrazi: Return this card from your graveyard to your hand. Cycling {2} ({2}, Discard this card: Draw a card.)
0.2 | -1.01 | 1 | open | Verdant Confluence | {4}{G}{G} | 6 | Sorcery | rare | Choose three. You may choose the same mode more than once. • Put two +1/+1 counters on target creature. • Return target permanent card from your graveyard to your hand. • Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.
0.1 | -1.09 | 1 | deck | Mishra's Bauble | {0} | 0 | Artifact | uncommon | {T}, Sacrifice this artifact: Look at the top card of target player's library. Draw a card at the beginning of the next turn's upkeep.
0.1 | -2.93 | 1 | open | Opal Palace |  | 0 | Land | common | {T}: Add {C}. {1}, {T}: Add one mana of any color in your commander's color identity. If you spend this mana to cast your commander, it enters with a number of additional +1/+1 counters on it equal to the number of times it's been cast from the command zone this game.
0.1 | 0.09 | 1 | open | Study Hall |  | 0 | Land | common | {T}: Add {C}. {1}, {T}: Add one mana of any color. When you spend this mana to cast your commander, scry X, where X is the number of times it's been cast from the command zone this game.
0.1 | -2.31 | 1 | open | Lavaspur Boots | {1} | 1 | Artifact — Equipment | uncommon | Equipped creature gets +1/+0 and has haste and ward {1}. (Whenever it becomes the target of a spell or ability an opponent controls, counter it unless that player pays {1}.) Equip {1}
0.1 | -1.58 | 3 | open | Dance of the Tumbleweeds | {1}{G} | 2 | Sorcery | common | Spree (Choose one or more additional costs.) + {1} — Search your library for a basic land card or a Desert card, put it onto the battlefield, then shuffle. + {3} — Create an X/X green Elemental creature token, where X is the number of lands you control.
0.1 | 0.98 | 1 | open | Gleaming Barrier | {2} | 2 | Artifact Creature — Wall | common | Defender When this creature dies, create a Treasure token. (It's an artifact with "{T}, Sacrifice this token: Add one mana of any color.")
0.1 | -3.05 | 1 | side+open | Lion Umbra | {G}{G} | 2 | Enchantment — Aura | uncommon | Enchant modified creature (Equipment, Auras its controller controls, and counters are modifications.) Enchanted creature gets +3/+3 and has reach and vigilance. Umbra armor (If enchanted creature would be destroyed, instead remove all damage from it and destroy this Aura.)
0.1 | -2.22 | 1 | open | Burnished Hart | {3} | 3 | Artifact Creature — Elk | uncommon | {3}, Sacrifice this creature: Search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle.
0.1 | -1.45 | 1 | open | Case of the Trampled Garden | {2}{G} | 3 | Enchantment — Case | uncommon | When this Case enters, distribute two +1/+1 counters among one or two target creatures you control. To solve — Creatures you control have total power 8 or greater. (If unsolved, solve at the beginning of your end step.) Solved — Whenever you attack, put a +1/+1 counter on target attacking creature. It gains trample until end of turn.
0.1 | -1.57 | 1 | open | Clear Shot | {2}{G} | 3 | Instant | uncommon | Target creature you control gets +1/+1 until end of turn. It deals damage equal to its power to target creature you don't control.
0.1 | -2.20 | 1 | deck | Sandman, Shifting Scoundrel | {1}{G}{G} | 3 | Legendary Creature — Sand Elemental Villain | rare | Sandman's power and toughness are each equal to the number of lands you control. Sandman can't be blocked by creatures with power 2 or less. {3}{G}{G}: Return this card and target land card from your graveyard to the battlefield tapped.
0.1 | -1.95 | 1 | side+open | Undergrowth Champion | {1}{G}{G} | 3 | Creature — Elemental | mythic | If damage would be dealt to this creature while it has a +1/+1 counter on it, prevent that damage and remove a +1/+1 counter from this creature. Landfall — Whenever a land you control enters, put a +1/+1 counter on this creature.
0.1 | -3.01 | 1 | side+open | Vastlands Scavenger // Bind to Life | {1}{G}{G} // {4}{G} | 3 | Creature — Bear Druid // Instant | rare | Deathtouch This creature enters prepared. (While it's prepared, you may cast a copy of its spell. Doing so unprepares it.) // Mill seven cards. Then put a creature card from among them onto the battlefield.
0.1 | -0.60 | 1 | open | Healing Technique | {3}{G} | 4 | Sorcery | rare | Demonstrate (When you cast this spell, you may copy it. If you do, choose an opponent to also copy it. Players may choose new targets for their copies.) Return target card from your graveyard to your hand. You gain life equal to that card's mana value. Exile Healing Technique.
0.1 | -2.19 | 2 | open | Map the Frontier | {3}{G} | 4 | Sorcery | uncommon | Search your library for up to two basic land cards and/or Desert cards, put them onto the battlefield tapped, then shuffle.
0.1 | -2.83 | 1 | deck | Monstrous Vortex | {3}{G} | 4 | Enchantment | uncommon | Whenever you cast a creature spell with power 5 or greater, discover X, where X is that spell's mana value. (Exile cards from the top of your library until you exile a nonland card with that mana value or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)
0.1 | -0.77 | 1 | side+open | Omenpath Journey | {3}{G} | 4 | Enchantment | mythic | When this enchantment enters, search your library for up to five land cards that have different names, exile them, then shuffle. At the beginning of your end step, choose a card at random exiled with this enchantment and put it onto the battlefield tapped.
0.1 | -0.95 | 1 | open | You Meet in a Tavern | {2}{G}{G} | 4 | Sorcery | common | Choose one — • Form a Party — Look at the top five cards of your library. You may reveal any number of creature cards from among them and put them into your hand. Put the rest on the bottom of your library in a random order. • Start a Brawl — Creatures you control get +2/+2 until end of turn.
0.1 | -0.76 | 1 | open | Fountainport Bell | {1} | 1 | Artifact | common | When this artifact enters, you may search your library for a basic land card, reveal it, then shuffle and put that card on top. {1}, Sacrifice this artifact: Draw a card.
0.1 | -0.69 | 1 | side+open | Bristlebane Battler | {1}{G} | 2 | Creature — Kithkin Soldier | rare | Trample, ward {2} This creature enters with five -1/-1 counters on it. Whenever another creature you control enters while this creature has a -1/-1 counter on it, remove a -1/-1 counter from this creature.
0.1 | -3.46 | 1 | side+open | Nightshade Dryad | {1}{G} | 2 | Creature — Dryad | common | Deathtouch {T}: Add {C}. {T}: Add one mana of any color.
0.1 | -3.04 | 1 | open | Paradise Druid | {1}{G} | 2 | Creature — Elf Druid | uncommon | This creature has hexproof as long as it's untapped. (It can't be the target of spells or abilities your opponents control.) {T}: Add one mana of any color.
0.1 | -2.29 | 1 | side+open | Wildborn Preserver | {1}{G} | 2 | Creature — Elf Archer | rare | Flash (You may cast this spell any time you could cast an instant.) Reach (This creature can block creatures with flying.) Whenever another non-Human creature you control enters, you may pay {X}. When you do, put X +1/+1 counters on this creature.
0.1 | -3.31 | 1 | open | Loxodon Warhammer | {3} | 3 | Artifact — Equipment | rare | Equipped creature gets +3/+0 and has trample and lifelink. Equip {3}
0.1 | -1.44 | 1 | open | Palladium Myr | {3} | 3 | Artifact Creature — Myr | uncommon | {T}: Add {C}{C}.
0.1 | -1.84 | 1 | open | Pulse of Murasa | {2}{G} | 3 | Instant | uncommon | Return target creature or land card from a graveyard to its owner's hand. You gain 6 life.
0.1 | -0.85 | 1 | side+open | Yavimaya Bloomsage // Channel | {2}{G} // {G}{G} | 3 | Creature — Dryad Druid // Sorcery | rare | At the beginning of your end step, put a +1/+1 counter on target creature you control. Then if that creature has power 7 or greater, this creature becomes prepared. (While it's prepared, you may cast a copy of its spell. Doing so unprepares it.) // Until end of turn, any time you could activate a mana ability, you may pay 1 life. If you do, add {C}.
0.1 | -0.46 | 1 | open | Paradise Plume | {4} | 4 | Artifact | uncommon | As this artifact enters, choose a color. Whenever a player casts a spell of the chosen color, you may gain 1 life. {T}: Add one mana of the chosen color.
0.1 | -3.55 | 1 | side+open | Surrak, the Hunt Caller | {2}{G}{G} | 4 | Legendary Creature — Human Warrior | rare | Formidable — At the beginning of combat on your turn, if creatures you control have total power 8 or greater, target creature you control gains haste until end of turn. (It can attack and {T} no matter when it came under your control.)
0.1 | -2.28 | 1 | side+open | Verdurous Gearhulk | {3}{G}{G} | 5 | Artifact Creature — Construct | mythic | Trample When this creature enters, distribute four +1/+1 counters among any number of target creatures you control.
0.1 | -3.14 | 1 | open | Yedora, Grave Gardener | {4}{G} | 5 | Legendary Creature — Treefolk Druid | uncommon | Whenever another nontoken creature you control dies, you may return it to the battlefield face down under its owner's control. It's a Forest land. (It has no other types or abilities.)
0.1 | -0.83 | 1 | open | Spinewoods Armadillo | {4}{G}{G} | 6 | Creature — Armadillo | uncommon | Reach Ward {3} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {3}.) {1}{G}, Discard this card: Search your library for a basic land card or a Desert card, reveal it, put it into your hand, then shuffle. You gain 3 life.
0.1 | -1.54 | 1 | side+open | Sweet-Gum Recluse | {4}{G}{G} | 6 | Creature — Spider | rare | Flash Cascade Reach When this creature enters, put three +1/+1 counters on each of any number of target creatures that entered this turn.
0.1 | -2.45 | 1 | side+open | Through the Forest Gate | {6}{G}{G} | 8 | Sorcery | rare | Look at the top twenty cards of your library, put any number of land cards from among them onto the battlefield tapped, then shuffle. You gain 8 life.
0.0 | - | 1 | open | Maestros Theater |  | 0 | Land | common | When this land enters, sacrifice it. When you do, search your library for a basic Island, Swamp, or Mountain card, put it onto the battlefield tapped, then shuffle and you gain 1 life.
0.0 | - | 1 | open | Mirage Mesa |  | 0 | Land — Desert | common | This land enters tapped. As it enters, choose a color. {T}: Add one mana of the chosen color.
0.0 | - | 1 | open | Sandstorm Verge |  | 0 | Land — Desert | uncommon | {T}: Add {C}. {3}, {T}: Target creature can't block this turn. Activate only as a sorcery.
0.0 | - | 1 | open | Skycoach Waypoint |  | 0 | Land | uncommon | {T}: Add {C}. {3}, {T}: Target creature becomes prepared. (Only creatures with prepare spells can become prepared.)
0.0 | - | 1 | open | Witch's Clinic |  | 0 | Land | rare | {T}: Add {C}. {2}, {T}: Target commander gains lifelink until end of turn.
0.0 | - | 1 | side+open | Blisterpod | {G} | 1 | Creature — Eldrazi Drone | common | Devoid (This card has no color.) When this creature dies, create a 1/1 colorless Eldrazi Scion creature token. It has "Sacrifice this token: Add {C}."
0.0 | - | 1 | open | Lost Jitte | {1} | 1 | Legendary Artifact — Equipment | mythic | Whenever equipped creature deals combat damage, put a charge counter on Lost Jitte. Remove a charge counter from Lost Jitte: Choose one — • Untap target land. • Target creature can't block this turn. • Put a +1/+1 counter on equipped creature. Equip {1}
0.0 | - | 1 | side+open | Meltstrider's Gear | {G} | 1 | Artifact — Equipment | common | When this Equipment enters, attach it to target creature you control. Equipped creature gets +2/+1 and has reach. Equip {5} ({5}: Attach to target creature you control. Equip only as a sorcery.)
0.0 | - | 1 | side+open | Broodhatch Nantuko | {1}{G} | 2 | Creature — Insect Druid | uncommon | Whenever this creature is dealt damage, you may create that many 1/1 green Insect creature tokens. Morph {2}{G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
0.0 | - | 1 | deck | Cream of the Crop | {1}{G} | 2 | Enchantment | rare | Whenever a creature you control enters, you may look at the top X cards of your library, where X is that creature's power. If you do, put one of those cards on top of your library and the rest on the bottom of your library in any order.
0.0 | - | 1 | open | Demon's Horn | {2} | 2 | Artifact | uncommon | Whenever a player casts a black spell, you may gain 1 life.
0.0 | - | 1 | open | Gatecreeper Vine | {1}{G} | 2 | Creature — Plant | common | Defender When this creature enters, you may search your library for a basic land card or a Gate card, reveal it, put it into your hand, then shuffle.
0.0 | - | 1 | side+open | Hardbristle Bandit | {1}{G} | 2 | Creature — Plant Rogue | common | {T}: Add one mana of any color. Whenever you commit a crime, untap this creature. This ability triggers only once each turn. (Targeting opponents, anything they control, and/or cards in their graveyards is a crime.)
0.0 | - | 1 | open | Idol of False Gods | {2} | 2 | Kindred Artifact — Eldrazi | uncommon | {1}{C}, {T}: Create a 0/1 colorless Eldrazi Spawn creature token with "Sacrifice this token: Add {C}." Whenever another Eldrazi you control dies, put a +1/+1 counter on this artifact. As long as this artifact has eight or more +1/+1 counters on it, it's a 0/0 creature in addition to its other types and it has annihilator 2.
0.0 | - | 1 | side+open | Ordeal of Nylea | {1}{G} | 2 | Enchantment — Aura | uncommon | Enchant creature Whenever enchanted creature attacks, put a +1/+1 counter on it. Then if it has three or more +1/+1 counters on it, sacrifice this Aura. When you sacrifice this Aura, search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle.
0.0 | - | 1 | open | Patchwork Automaton | {2} | 2 | Artifact Creature — Construct | uncommon | Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.) Whenever you cast an artifact spell, put a +1/+1 counter on this creature.
0.0 | - | 1 | open | Prophetic Prism | {2} | 2 | Artifact | common | When this artifact enters, draw a card. {1}, {T}: Add one mana of any color.
0.0 | - | 1 | open | Steel Overseer | {2} | 2 | Artifact Creature — Construct | rare | {T}: Put a +1/+1 counter on each artifact creature you control.
0.0 | - | 1 | open | Sun Droplet | {2} | 2 | Artifact | uncommon | Whenever you're dealt damage, put that many charge counters on this artifact. At the beginning of each upkeep, you may remove a charge counter from this artifact. If you do, you gain 1 life.
